sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	EOL:3685	Bacillariophyta 						eaten by		EOL:18319	Molophilus 											
	EOL:3685	Bacillariophyta 						eaten by		WORMS:558774	Aeolosoma 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:78982	Neocurupira 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:110394	Psephenus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2625033	Copepoda 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:4254164	Paracalliope 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:253344	Argia vivida 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:206857	Mugil cephalus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:205147	Dorosoma cepedianum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:211989	Poecilia latipinna 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:225829	Brevoortia patronus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:217009	Adinia xenica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:357022	Fundulus grandis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1157174	Cyprinodon variegatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:206726	Leiostomus xanthurus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:995159	Menidia beryllina 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:224967	Fundulus pulvereus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:995142	Lucania parva 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:217007	Achirus lineatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:994841	Micropogonias undulatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:223306	Anchoa mitchilli 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:586977	Prionospio caspersi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:50396	Harmothoe 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:489059	Euclymene oerstedi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:491865	Polydora ciliata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:406854	Nereis pelagica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2967130	Neanthes caudata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:404312	Eunice aphroditois 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:489214	Heteromastus filiformis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:462887	Capitella minima 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:418622	Syllis gracilis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2968128	Syllis columbretensis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:406909	Sphaerosyllis hystrix 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:458783	Syllis armillaris 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:58584	Streptosyllis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:491754	Paraonis fulgens 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:485945	Ampharete grubei 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:587585	Platynereis massiliensis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:587197	Neanthes irrorata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:458741	Neanthes arenaceodentata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:157	Orbiniidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:152	Arenicolidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:482971	Chone mollis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:406978	Exogone naidina 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:406518	Alitta succinea 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:593023	Nephtys hombergii 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:462766	Ctenodrilus serratus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:130	Ctenodrilidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:459465	Scoloplos armiger 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:147	Terebellidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:99	Hesionidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:52727	Schistomeringos 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:52436	Paraonis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:50555	Magelona 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:121	Syllidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:158	Paraonidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:156	Opheliidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:488921	Clymenella torquata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:61249	Laonice 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:53010	Nephtys 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:39309	Polydora 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:489157	Cirriformia tentaculata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:581616	Amage adspersa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:485917	Polyophthalmus pictus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:596660	Paradoneis armata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:488984	Owenia fusiformis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:485929	Notomastus latericeus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:614771	Magelona mirabilis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:404837	Lumbrineris latreilli 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:491820	Laonice cirrata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:406336	Hediste diversicolor 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:582008	Dasybranchus caducus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:401642	Cirrophorus furcatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:489143	Cirriformia filigera 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:489116	Chaetozone setosa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1262403	Capitella capitata capitata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:485801	Armandia cirrhosa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:486136	Arenicola marina 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:406337	Platynereis dumerilii 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:503217	Perinereis cultrifera 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:620695	Eupolymnia nebulosa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:127849	Calanoides acutus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1023882	Calanus propinquus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:340731	Metridia gerlachei 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:68466	Clavularia 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1009620	Oswaldella antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:461267	Eunoe opalina 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:90375	Gyrodinium 										10.1029/2005GL025366	(Saito et al. 2006)
	EOL:3685	Bacillariophyta 						eaten by		EOL:3047559	Ophiosparte gigas 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:511276	Colossendeis robusta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3064429	Maxilliphimedia longipes 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:204832	Electrona antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:480280	Galiteuthis glacialis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:491112	Alluroteuthis antarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:452481	Tomopteris septentrionalis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2968255	Tomopteris planktonis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3096086	Tomopteris carpenteri 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:454008	Pelagobia longicirrata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:406391	Maupasia coeca 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:512064	Solidosagitta marri 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:512046	Pseudosagitta gazellae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:511931	Eukrohnia hamata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:510619	Salpa thompsoni 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3111080	Pasiphaea scotiae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:509467	Thysanoessa macrura 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:509426	Euphausia superba 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1023074	Pseudomma belgicae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:128045	Mysidetes posthon 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:14839	Dactylamblyops 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:14135	Boreomysis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1022196	Antarctomysis ohlinii 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1010868	Antarctomysis maxima 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:343362	Parandania boecki 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3063623	Abyssorchomene rossi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3063906	Abyssorchomene plebs 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:344874	Eurythenes obesus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:325053	Eurythenes gryllus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3064582	Eusirus propeperdentatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:330386	Eusirus perdentatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:341276	Eusirus microps 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:341277	Epimeriella macronyx 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:329278	Cyphocaris richardi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:128590	Cyphocaris faurei 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1024556	Vibilia stebbingi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:318037	Primno macropa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1024630	Themisto gaudichaudii 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1000153	Hyperiella macronyx 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1021837	Hyperiella dilatata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1039894	Cyllopus lucasii 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:128253	Metaconchoecia skogsbergi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1023919	Metaconchoecia isocheira 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1023832	Conchoecissa imbricata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1023211	Alacia hettacra 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1023833	Alacia belgicae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1023212	Boroecia antipoda 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:127858	Stephos longipes 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:339487	Spinocalanus magnus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1269533	Spinocalanus abyssalis pygmaeus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1039710	Spinocalanus abyssalis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1039452	Mimocalanus cultrifer 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:339677	Scolecithricella minor 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1016841	Pseudoamallothrix emarginata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3099104	Amallothrix dentipes 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3011329	Pseudoamallothrix cenotelis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3102496	Scaphocalanus vervoorti 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3102495	Scaphocalanus parantarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3102492	Scaphocalanus farrani 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3102490	Scaphocalanus antarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1039507	Racovitzanus antarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1039451	Microcalanus pygmaeus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:326241	Farrania frigida 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1025094	Ctenocalanus citer 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:43364	Xanthocalanus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3102231	Onchocalanus wolfendeni 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1039555	Cephalophanes frigidus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1040630	Oncaea curvata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1023860	Oncaea antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:340734	Oithona similis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:341682	Oithona frigida 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:339660	Pleuromamma robusta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:336403	Metridia curticauda 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1023858	Lucicutia wolfendeni 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:341375	Lucicutia gaussae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1039394	Lucicutia macrocera 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:127859	Heterorhabdus farrani 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:341094	Heterorhabdus austrinus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:329892	Paraeuchaeta similis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3102355	Paraeuchaeta rasa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:329891	Paraeuchaeta antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1040629	Rhincalanus gigas 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:127774	Haloptilus ocellatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:127850	Pseudochirella mawsoni 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3054170	Pseudochirella hirsuta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:339582	Gaetanus tenuispinus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:329912	Gaetanus simplex 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:340919	Gaetanus kruppii 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3100290	Euchirella rostromagna 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:10698993	Aetideopsis antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:213097	Notolepis coatsi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:207321	Gymnoscopelus braueri 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:213411	Bathylagus antarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:453376	Clio pyramidata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:509407	Euphausia frigida 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:510630	Ihlea racovitzai 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:510622	Salpa gerlachei 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:393495	Cnemidocarpa verrucosa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:513821	Synoicum adareanum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:513746	Aplidium vastum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:512691	Corella eumyota 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:512543	Ascidia challengeri 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:514064	Molgula pedunculata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:6835101	Bostrychopora dentata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2974828	Isoschizoporella tricuspis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2975403	Pemmatoporella 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2975361	Reteporella hippocrepis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2975385	Systenopora contracta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2974580	Melicerita obliqua 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2975370	Cellarinella 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Nematroflustra flagellata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2974348	Camptoplites tricornis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:36457	Alcyonidium 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3035822	Parborlasia corrugatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2976407	Lineus longifissus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3033082	Baseodiscus antarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3101696	Dentalium majorinum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:4943941	Cadulus dalli 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3048897	Propeleda longicaudata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2980622	Lissarca notorcadensis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2980615	Limopsis marionensis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:4728363	Limopsis lillei 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3048832	Laternula elliptica 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Yolida eightsi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3048804	Cyclocardia astartoides 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3048887	Parmaphorella mawsoni 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3048905	Puncturella conica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:324360	Anthomastus bathyproctus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:322822	Gersemia antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:421608	Edwardsia intermedia 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:421052	Isotealia antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1006350	Monocaulus parvula 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:203251	Silicularia rosea 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3039427	Sterechinus antarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3039430	Sterechinus neumayeri 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3047535	Astrotoma agassizii 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3047541	Ophiacantha antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3088814	Ophioplinthus gelida 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3088808	Ophioplinthus brevirima 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3047604	Ophioceres incipiens 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:598344	Ophionotus victoriae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:4703872	Porania antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:4704670	Odontaster validus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:10699335	Rhynchonereella bongraini 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Camylaspis maculata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:41723	Vaunthompsonia 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2979128	Eudorella splendida 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:344889	Nototanais dimorphus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:342794	Peraeospinosus pushkini 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:344493	Nototanais antarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1457	Podocopida 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Austrosisignum grande 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:14133	Euchaetomera 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1039085	Eucopia australis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:7367	Mysidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:10952657	Euchaeta antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3111078	Nematocarcinus lanceopes 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:330267	Chorismus antarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3111073	Notocrangon antarcticus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3064543	Rhachotropis antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3063889	Heterophoxus videns 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1022681	Bathypanoploea schellenbergi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3063931	Uristes gigas 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3063945	Paraceradocus gibber 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3064122	Epimeria georgiana 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3064341	Epimeria macrodonta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3064170	Epimeria similis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3063796	Epimeriella walkeri 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1040069	Ampelisca richardsoni 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Neogloboquadriana pachyderma 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:15545215	Lenticulina antarctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:488137	Cassidulina crassa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:489464	Cibicides refulgens 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:6813725	Cassidulinoides parkerianus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:614607	Terebellides pacifica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:73005	Stichopus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:117	Polynoidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:509444	Nyctiphanes couchi 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:597887	Molpadia borealis 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:509431	Meganyctiphanes norvegica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:456007	Lumbriclymene minor 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:14326	Erythrops 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:600551	Einhornia arctica 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:597987	Cucumaria frondosa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:129	Cirratulidae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1020724	Calanus helgolandicus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2613063	Asellota 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:474660	Aphelochaeta marioni 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1021376	Taphromysis bowmani 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:345055	Rhithropanopeus harrisii 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:325037	Farfantepenaeus duorarum 											
	EOL:3685	Bacillariophyta 						eaten by		WORMS:161345	Americamysis almyra 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:42101	Labidocera 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:207803	Heterandria formosa 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:211782	Floridichthys carpio 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:14332	Cyclops 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:342513	Cyclaspis varians 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Cricoctopus sp. 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:52177	Congeria 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54809	Chironomus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:451585	Brachidontes exustus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:43170	Acartia 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:312939	Callinectes sapidus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1024570	Macrobrachium ohione 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:451460	Rangia cuneata 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:995122	Lagodon rhomboides 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:217614	Dorosoma petenense 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:1000279	Sardinella aurita 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:213022	Opisthonema oglinum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54923	Polypedilum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:55368	Naonella 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:481634	Aoteapsyche raruraru 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2693261	Tanytarsini 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Stratiomyiid sp. 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Potamopurgus antipodarum 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:8941720	Podaena 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:84317	Paralimnophora 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:582612	Oxyethira albiceps 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:8941719	Orchymontia 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Oniscogaster sp. 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2564270	Oligochaeta 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:10482179	Nesameletus ornatus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:19712211	Hydora nitida 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:53016	Hudsonema 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:2686478	Hexatomini 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Eukiefiriella 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:3684076	Deleatidium 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:54832	Cricotopus 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:6891728	Coloburiscus humeralis 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Ceratopogonid 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:745749	Austrosimulium australense 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:12026817	Austroclima jollyae 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:88480	Aphrophila 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:576	Chilopoda 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Scirtid sp. (Skinny type) 											
	EOL:3685	Bacillariophyta 						eaten by		no:match	Scirtid sp. (Broad type) 											
	EOL:3685	Bacillariophyta 						eaten by		EOL:60648	Pycnocentrodes 											
